Proteome_ID,Tax_ID,SUPERREGNUM
UP000184184,1027249,bacteria
UP000517611,2771350,viruses
UP000161122,35312,viruses
UP000019748,1470462,viruses
UP000204054,1647306,viruses
UP000321250,862135,bacteria
UP000664142,2052180,bacteria
UP000002420,398767,bacteria
UP000008385,365046,bacteria
UP000002613,589924,archaea
UP000237752,1629062,bacteria
UP000501924,2547430,viruses
UP000294829,1549640,bacteria
UP000296915,2548022,viruses
UP000019303,1308897,viruses
UP000201477,1837218,viruses
UP000019742,1468169,viruses
UP000296834,2558733,viruses
UP000077701,161355,bacteria
UP000030712,1432428,viruses
UP000203394,222474,viruses
UP000001572,293826,bacteria
UP000678584,2582941,viruses
UP000050488,1544413,bacteria
UP000201372,1343493,viruses
UP000005286,879305,bacteria
UP000193313,1570823,bacteria
UP000153366,1144381,viruses
UP000051200,1736333,bacteria
UP000091918,1955775,eukaryota
UP000202542,1816487,viruses
UP000676982,2786565,viruses
UP000006346,768706,bacteria
UP000106424,1435008,viruses
UP000678872,2049428,bacteria
UP000201961,1922937,viruses
UP000253314,273032,bacteria
UP000222233,1510841,bacteria
UP000678032,2786597,viruses
UP000232638,1166950,bacteria
UP000031723,1589274,viruses
UP000147721,228277,viruses
UP000009883,999423,bacteria
UP000324395,2583143,viruses
UP000110521,878329,viruses
UP000233020,37293,eukaryota
UP000214370,1482319,viruses
UP000225965,1927020,viruses
UP000054845,401625,eukaryota
UP000268779,2365006,viruses
UP000610026,2805750,viruses
UP000326837,2650471,bacteria
UP000295718,1469948,bacteria
UP000006285,57477,viruses
UP000193017,1945662,bacteria
UP000234323,588596,eukaryota
UP000653135,1871066,bacteria
UP000269005,2219139,viruses
UP000092612,996801,bacteria
UP000123432,875615,viruses
UP000204432,418448,viruses
UP000008921,938131,viruses
UP000296770,2558785,viruses
UP000429954,2683673,viruses
UP000240572,1434707,bacteria
UP000095347,28181,bacteria
UP000010729,1246476,bacteria
UP000296433,2558671,viruses
UP000202562,1608089,viruses
UP000327127,2652424,viruses
UP000191691,60175,eukaryota
UP000030832,333138,bacteria
UP000296846,2558573,viruses
UP000677376,2054619,viruses
UP000662913,2812932,viruses
UP000050665,1620421,bacteria
UP000225028,1775255,viruses
UP000019489,1386089,bacteria
UP000435138,2663029,bacteria
UP000679318,2721750,viruses
UP000677767,2786634,viruses
UP000297178,2100727,viruses
UP000273022,342950,bacteria
UP000321933,1852021,bacteria
UP000236197,2070686,bacteria
UP000001840,631719,viruses
UP000318138,2592382,bacteria
UP000198211,4795,eukaryota
UP000269137,980881,viruses
UP000444316,2692177,bacteria
UP000298650,2489212,bacteria
UP000053599,1016849,eukaryota
UP000124141,35316,viruses
UP000020878,1454005,bacteria
UP000218220,7102,eukaryota
UP000774750,2897707,bacteria
UP000245946,58919,eukaryota
UP000075224,1690483,bacteria
UP000004701,633131,bacteria
UP000203043,1923100,viruses
UP000203801,1560351,viruses
UP000029349,1540823,viruses
UP000008436,388912,viruses
UP000184032,1120995,bacteria
UP000201870,1923484,viruses
UP000033027,1610831,viruses
UP000679691,2820698,bacteria
UP000070638,1777880,bacteria
UP000424925,2656513,viruses
UP000280480,2315717,viruses
UP000423197,2303490,viruses
UP000543279,2723083,bacteria
UP000030150,1515613,bacteria
UP000015971,110319,bacteria
UP000460561,374177,bacteria
UP000199585,245187,bacteria
UP000172221,1272960,viruses
UP000151502,1379711,viruses
UP000027982,661478,bacteria
UP000202835,1170422,viruses
UP000203378,1770618,viruses
UP000187172,297318,bacteria
UP000204486,1923147,viruses
UP000202876,1922430,viruses
UP000203583,1923157,viruses
UP000662871,2813219,viruses
UP000078046,1819745,eukaryota
UP000250548,2201426,viruses
UP000327157,2448454,eukaryota
UP000203777,1573458,viruses
UP000184211,870908,bacteria
UP000054815,6337,eukaryota
UP000135044,452475,viruses
UP000290287,1278244,bacteria
UP000449547,5481,eukaryota
UP000207638,1922712,viruses
UP000000535,242231,bacteria
UP000001030,344609,bacteria
UP001055712,3077,eukaryota
UP000232720,224399,viruses
UP000223966,2024213,viruses
UP000676963,2786048,viruses
UP000201345,1922711,viruses
UP000289429,2163916,viruses
UP000018948,1317064,eukaryota
UP000680925,2786815,viruses
UP000217062,2015203,bacteria
UP000201701,1923135,viruses
UP000204180,1923532,viruses
UP000168164,44088,viruses
UP000224012,1971232,viruses
UP000077407,1538,bacteria
UP000324091,433684,eukaryota
UP000606786,7213,eukaryota
UP000304864,2580412,bacteria
UP000663595,2815747,viruses
UP000245623,2173179,bacteria
UP000503259,2725640,viruses
UP000008395,1041808,viruses
UP000204126,1923248,viruses
UP000636942,2051956,bacteria
UP000314987,29139,eukaryota
UP000198619,84698,bacteria
UP000621849,2692767,bacteria
UP000516196,2664399,viruses
UP000191901,1641165,bacteria
UP000005850,1042163,bacteria
